task_id,task_type,machine_model,machine_age_years,operator_id,operator_skill,site_zone,target_volume_tons,weather,ambient_temp_c,ground_saturation_pct,visibility_level,slope_deg,truck_arrival_interval_min,queue_length,cycle_time_sec,payload_tons,engine_load_pct,idle_minutes,task_duration_minutes,fuel_litres,shift_status,data_origin
T-SYN-0017,EXCAVATION,CAT-349D,1.0,OP1009,INTERMEDIATE,BENCH_2_WEST,383.0,RAIN,15.9,26.0,MODERATE,10.8,4.1,1,36.5,25.5,86.0,2.2,15.1,8.1,COMPLETED,SYNTHETIC
T-SYN-0018,LOADING,CAT-349D,5.6,OP1020,INTERMEDIATE,STOCKPILE_1,781.0,OVERCAST,23.0,18.5,GOOD,0.3,4.5,1,24.8,24.6,82.0,6.0,16.8,8.5,COMPLETED,SYNTHETIC
T-SYN-0019,EXCAVATION,CAT-349D,7.4,OP1021,NOVICE,BENCH_3_UPPER,621.0,MUD,17.9,51.0,POOR,4.8,4.0,2,45.7,28.6,81.7,5.4,37.6,19.0,COMPLETED,SYNTHETIC
T-SYN-0020,LOADING,CAT-349D,2.5,OP1011,NOVICE,STOCKPILE_2,927.0,OVERCAST,17.9,13.7,GOOD,3.6,6.2,0,30.5,27.0,90.3,4.4,22.1,14.8,IN_PROGRESS,SYNTHETIC
T-SYN-0021,LOADING,CAT-349D,6.9,OP1005,EXPERT,BENCH_3_UPPER,802.0,OVERCAST,21.1,12.9,GOOD,4.6,6.9,2,23.9,27.4,91.1,2.0,11.3,6.8,COMPLETED,SYNTHETIC
T-SYN-0022,OVERBURDEN,CAT-349D,1.5,OP1005,MASTER,BENCH_3_UPPER,853.0,OVERCAST,22.3,18.0,GOOD,5.0,3.9,1,23.0,28.1,83.9,3.8,12.7,6.2,COMPLETED,SYNTHETIC
T-SYN-0023,LOADING,CAT-349D,6.2,OP1013,EXPERT,STOCKPILE_2,688.0,OVERCAST,23.4,11.2,GOOD,1.9,5.2,2,21.7,27.9,84.5,5.2,11.7,5.3,COMPLETED,SYNTHETIC
T-SYN-0024,TRENCHING,CAT-349D,3.2,OP1008,INTERMEDIATE,BENCH_2_WEST,838.0,CLEAR,31.2,9.4,EXCELLENT,2.1,7.2,1,34.1,26.0,74.8,6.3,27.1,13.9,COMPLETED,SYNTHETIC
T-SYN-0025,OVERBURDEN,CAT-349D,1.4,OP1022,EXPERT,HAUL_ROAD_EAST,1054.0,CLEAR,27.1,11.9,EXCELLENT,0.0,4.7,2,20.4,26.8,77.9,5.5,14.6,6.6,IN_PROGRESS,SYNTHETIC
T-SYN-0026,EXCAVATION,CAT-349D,8.0,OP1017,EXPERT,BENCH_2_WEST,625.0,RAIN,14.6,38.0,MODERATE,3.7,20.9,6,32.2,25.7,83.9,46.6,62.8,19.3,COMPLETED,SYNTHETIC
T-SYN-0027,OVERBURDEN,CAT-349D,5.4,OP1001,NOVICE,ZONE_4_NORTH,1449.0,CLEAR,27.3,13.0,EXCELLENT,1.2,19.8,6,29.9,28.0,81.2,44.9,70.6,28.1,COMPLETED,SYNTHETIC
T-SYN-0028,EXCAVATION,CAT-349D,1.4,OP1013,INTERMEDIATE,BENCH_3_UPPER,397.0,OVERCAST,22.8,11.6,GOOD,3.9,6.3,1,28.1,26.7,73.0,1.7,8.2,4.2,COMPLETED,SYNTHETIC
T-SYN-0029,OVERBURDEN,CAT-349D,5.8,OP1009,NOVICE,ZONE_4_NORTH,1236.0,CLEAR,31.8,9.6,EXCELLENT,3.1,4.1,0,29.1,23.3,81.0,6.7,31.7,19.0,COMPLETED,SYNTHETIC
T-SYN-0030,OVERBURDEN,CAT-349D,1.6,OP1017,INTERMEDIATE,STOCKPILE_1,905.0,OVERCAST,17.0,11.3,GOOD,0.1,5.9,1,24.8,24.5,72.5,5.0,17.6,8.4,COMPLETED,SYNTHETIC
T-SYN-0031,TRENCHING,CAT-349D,0.8,OP1012,INTERMEDIATE,STOCKPILE_2,789.0,CLEAR,26.9,10.7,EXCELLENT,5.3,4.8,0,36.2,23.9,74.5,4.7,28.7,15.4,COMPLETED,SYNTHETIC
T-SYN-0032,LOADING,CAT-349D,6.0,OP1004,EXPERT,RAMP_3_SOUTH,1437.0,OVERCAST,20.2,18.0,GOOD,1.9,4.0,0,23.8,26.7,85.2,3.7,20.6,11.7,COMPLETED,SYNTHETIC
T-SYN-0033,EXCAVATION,CAT-349D,2.9,OP1022,EXPERT,ZONE_4_NORTH,600.0,RAIN,19.1,29.2,MODERATE,1.4,15.0,5,33.7,26.8,77.5,34.4,50.8,16.0,COMPLETED,SYNTHETIC
T-SYN-0034,GRADING,CAT-D8T,3.4,OP1009,EXPERT,ZONE_4_NORTH,718.0,CLEAR,26.3,6.6,EXCELLENT,1.5,5.7,0,28.2,17.7,71.7,4.1,22.0,7.9,COMPLETED,SYNTHETIC
T-SYN-0035,EXCAVATION,CAT-349D,6.2,OP1012,INTERMEDIATE,STOCKPILE_2,416.0,CLEAR,22.2,14.1,EXCELLENT,0.2,5.5,2,25.5,24.6,69.2,5.7,11.8,4.7,COMPLETED,SYNTHETIC
T-SYN-0036,LOADING,CAT-349D,5.4,OP1020,EXPERT,BENCH_3_UPPER,1444.0,CLEAR,24.4,10.4,EXCELLENT,2.1,6.6,2,20.3,25.4,81.9,6.1,19.1,9.4,COMPLETED,SYNTHETIC
T-SYN-0037,TRENCHING,CAT-349D,4.2,OP1013,INTERMEDIATE,ZONE_4_NORTH,603.0,CLEAR,31.0,11.3,EXCELLENT,1.5,11.3,5,33.8,26.3,68.0,23.3,37.9,13.2,COMPLETED,SYNTHETIC
T-SYN-0038,TRENCHING,CAT-349D,5.8,OP1018,EXPERT,RAMP_3_SOUTH,832.0,OVERCAST,19.8,17.6,GOOD,3.6,6.6,1,32.8,29.6,72.2,4.8,21.6,10.2,COMPLETED,SYNTHETIC
T-SYN-0039,LOADING,CAT-349D,7.8,OP1004,MASTER,STOCKPILE_1,641.0,RAIN,18.5,28.9,MODERATE,2.0,5.5,2,24.0,22.8,90.6,5.5,15.9,7.1,COMPLETED,SYNTHETIC
T-SYN-0040,EXCAVATION,CAT-349D,4.7,OP1007,EXPERT,RAMP_3_SOUTH,355.0,RAIN,14.2,29.2,MODERATE,0.5,6.4,1,28.5,23.7,79.9,1.7,9.5,4.4,COMPLETED,SYNTHETIC
T-SYN-0041,EXCAVATION,CAT-349D,5.2,OP1011,EXPERT,ZONE_4_NORTH,748.0,OVERCAST,21.4,10.3,GOOD,9.1,4.5,1,31.2,30.6,78.4,4.8,18.0,8.9,COMPLETED,SYNTHETIC
T-SYN-0042,TRENCHING,CAT-349D,2.6,OP1021,EXPERT,BENCH_2_WEST,999.0,CLEAR,24.1,12.2,EXCELLENT,5.3,5.1,1,32.0,22.9,75.3,7.1,31.9,15.7,COMPLETED,SYNTHETIC
T-SYN-0043,TRENCHING,CAT-349D,1.5,OP1002,INTERMEDIATE,ZONE_4_NORTH,606.0,CLEAR,20.2,9.5,EXCELLENT,7.6,7.3,2,33.9,25.4,75.7,3.4,18.6,10.0,COMPLETED,SYNTHETIC
T-SYN-0044,TRENCHING,CAT-349D,7.3,OP1024,INTERMEDIATE,BENCH_3_UPPER,593.0,OVERCAST,21.2,13.0,GOOD,0.6,20.6,3,33.7,26.7,71.0,28.4,42.4,14.3,IN_PROGRESS,SYNTHETIC
T-SYN-0045,TRENCHING,CAT-349D,8.0,OP1007,EXPERT,BENCH_3_UPPER,461.0,MUD,16.7,38.7,POOR,2.2,7.3,2,36.0,27.7,74.7,2.3,17.6,7.2,COMPLETED,SYNTHETIC
T-SYN-0046,EXCAVATION,CAT-349D,2.3,OP1024,NOVICE,STOCKPILE_2,492.0,OVERCAST,18.5,10.5,GOOD,1.6,18.7,4,34.7,25.6,75.0,29.2,42.1,14.9,COMPLETED,SYNTHETIC
T-SYN-0047,EXCAVATION,CAT-349D,7.0,OP1003,NOVICE,STOCKPILE_2,721.0,OVERCAST,18.7,14.3,GOOD,6.4,4.8,1,34.8,24.3,82.1,4.6,24.6,15.2,COMPLETED,SYNTHETIC
T-SYN-0048,OVERBURDEN,CAT-349D,0.9,OP1021,INTERMEDIATE,HAUL_ROAD_EAST,609.0,CLEAR,20.6,6.4,EXCELLENT,5.5,11.3,3,22.2,27.8,82.3,20.0,26.0,8.4,COMPLETED,SYNTHETIC
T-SYN-0049,GRADING,CAT-D8T,0.5,OP1013,EXPERT,HAUL_ROAD_EAST,759.0,CLEAR,29.3,13.6,EXCELLENT,2.4,5.9,2,30.1,16.3,73.1,6.5,29.9,10.8,COMPLETED,SYNTHETIC
T-SYN-0050,LOADING,CAT-349D,2.1,OP1016,INTERMEDIATE,STOCKPILE_1,765.0,CLEAR,20.4,8.5,EXCELLENT,0.1,6.3,0,23.7,26.5,85.0,2.4,11.4,6.7,COMPLETED,SYNTHETIC
T-SYN-0051,EXCAVATION,CAT-349D,5.7,OP1020,NOVICE,STOCKPILE_2,363.0,FOG,10.0,15.2,POOR,6.8,7.0,1,35.8,25.7,77.1,5.0,15.1,7.8,COMPLETED,SYNTHETIC
T-SYN-0052,TRENCHING,CAT-349D,5.5,OP1005,EXPERT,ZONE_4_NORTH,766.0,OVERCAST,17.9,18.7,GOOD,0.3,5.1,2,32.4,28.0,72.5,6.9,22.9,10.3,COMPLETED,SYNTHETIC
T-SYN-0053,TRENCHING,CAT-349D,4.4,OP1001,NOVICE,BENCH_3_UPPER,637.0,OVERCAST,19.3,10.9,GOOD,3.9,4.1,1,39.0,28.6,70.5,5.2,24.0,12.6,COMPLETED,SYNTHETIC
T-SYN-0054,GRADING,CAT-D8T,7.1,OP1010,INTERMEDIATE,STOCKPILE_2,352.0,RAIN,18.4,35.0,MODERATE,1.1,7.0,2,36.3,20.6,81.0,2.1,16.6,6.3,COMPLETED,SYNTHETIC
T-SYN-0055,OVERBURDEN,CAT-349D,3.3,OP1023,EXPERT,RAMP_3_SOUTH,1009.0,CLEAR,23.8,11.1,EXCELLENT,0.6,7.2,1,23.0,26.1,77.5,2.4,13.8,7.2,IN_PROGRESS,SYNTHETIC
T-SYN-0056,EXCAVATION,CAT-349D,5.6,OP1001,INTERMEDIATE,RAMP_3_SOUTH,439.0,CLEAR,21.2,12.5,EXCELLENT,5.9,13.0,4,30.4,25.9,78.2,25.2,33.9,11.1,COMPLETED,SYNTHETIC
T-SYN-0057,OVERBURDEN,CAT-349D,5.4,OP1022,INTERMEDIATE,ZONE_4_NORTH,1502.0,CLEAR,23.5,12.6,EXCELLENT,7.7,7.4,1,26.5,26.5,86.1,5.5,27.6,16.5,COMPLETED,SYNTHETIC
T-SYN-0058,EXCAVATION,CAT-349D,6.8,OP1010,EXPERT,STOCKPILE_2,592.0,CLEAR,23.0,6.6,EXCELLENT,0.9,4.7,2,24.8,26.2,71.3,2.5,10.2,4.7,IN_PROGRESS,SYNTHETIC
T-SYN-0059,OVERBURDEN,CAT-349D,1.4,OP1018,EXPERT,ZONE_4_NORTH,1050.0,CLEAR,30.2,6.8,EXCELLENT,2.6,6.3,0,23.6,27.0,80.5,3.0,15.0,8.0,COMPLETED,SYNTHETIC
T-SYN-0060,EXCAVATION,CAT-349D,7.6,OP1001,EXPERT,BENCH_3_UPPER,517.0,OVERCAST,19.9,15.3,GOOD,5.6,12.4,3,30.2,29.0,78.8,20.9,29.9,10.1,COMPLETED,SYNTHETIC
T-SYN-0061,EXCAVATION,CAT-349D,2.4,OP1010,NOVICE,ZONE_4_NORTH,500.0,MUD,13.9,47.2,POOR,3.1,4.2,2,44.3,19.4,81.3,4.6,40.6,20.8,COMPLETED,SYNTHETIC
T-SYN-0062,OVERBURDEN,CAT-349D,3.1,OP1023,NOVICE,STOCKPILE_1,812.0,RAIN,17.7,34.5,MODERATE,5.0,5.3,0,36.6,23.5,86.7,3.9,33.7,20.1,COMPLETED,SYNTHETIC
T-SYN-0063,TRENCHING,CAT-349D,1.5,OP1019,NOVICE,HAUL_ROAD_EAST,677.0,CLEAR,31.1,8.2,EXCELLENT,10.5,5.9,0,42.7,23.2,78.4,7.3,36.9,21.7,IN_PROGRESS,SYNTHETIC
T-SYN-0064,GRADING,CAT-D8T,0.8,OP1007,INTERMEDIATE,RAMP_3_SOUTH,451.0,RAIN,20.0,31.4,MODERATE,10.9,5.0,2,40.1,18.6,85.1,5.3,30.4,11.8,COMPLETED,SYNTHETIC
T-SYN-0065,OVERBURDEN,CAT-349D,3.6,OP1010,EXPERT,STOCKPILE_1,1267.0,OVERCAST,19.5,11.3,GOOD,2.8,6.2,0,20.9,28.6,77.4,6.0,16.8,7.6,COMPLETED,SYNTHETIC
T-SYN-0066,EXCAVATION,CAT-349D,5.5,OP1021,NOVICE,BENCH_2_WEST,401.0,CLEAR,23.4,11.7,EXCELLENT,5.6,6.3,2,32.7,26.1,77.0,3.5,12.6,6.9,COMPLETED,SYNTHETIC
T-SYN-0067,OVERBURDEN,CAT-349D,3.5,OP1014,EXPERT,ZONE_4_NORTH,1536.0,OVERCAST,23.0,16.1,GOOD,6.0,4.8,2,26.4,26.2,80.7,3.6,26.3,14.6,COMPLETED,SYNTHETIC
T-SYN-0068,OVERBURDEN,CAT-349D,7.4,OP1023,EXPERT,RAMP_3_SOUTH,1056.0,RAIN,18.6,34.7,MODERATE,1.0,6.1,1,27.9,26.8,83.8,3.2,23.0,11.5,IN_PROGRESS,SYNTHETIC
T-SYN-0069,GRADING,CAT-D8T,7.0,OP1009,NOVICE,ZONE_4_NORTH,687.0,CLEAR,29.6,13.4,EXCELLENT,1.8,15.3,4,35.7,18.4,73.8,31.2,57.6,19.2,COMPLETED,SYNTHETIC
T-SYN-0070,OVERBURDEN,CAT-349D,7.9,OP1023,NOVICE,ZONE_4_NORTH,712.0,RAIN,15.6,36.4,MODERATE,1.7,4.2,0,34.8,26.0,87.3,6.1,27.5,15.3,IN_PROGRESS,SYNTHETIC
T-SYN-0071,OVERBURDEN,CAT-349D,8.0,OP1003,INTERMEDIATE,ZONE_4_NORTH,1025.0,RAIN,19.9,28.5,MODERATE,3.1,18.4,6,31.1,23.6,82.0,44.5,71.6,25.3,IN_PROGRESS,SYNTHETIC
T-SYN-0072,TRENCHING,CAT-349D,6.1,OP1005,EXPERT,STOCKPILE_2,492.0,MUD,12.9,52.6,POOR,0.4,3.8,1,39.0,24.7,82.5,2.2,23.7,10.9,COMPLETED,SYNTHETIC
T-SYN-0073,LOADING,CAT-349D,6.7,OP1001,NOVICE,BENCH_2_WEST,693.0,MUD,16.9,45.8,POOR,6.5,6.5,1,37.9,25.8,95.0,5.5,32.9,18.8,IN_PROGRESS,SYNTHETIC
T-SYN-0074,TRENCHING,CAT-349D,2.1,OP1016,INTERMEDIATE,BENCH_3_UPPER,894.0,CLEAR,21.0,6.8,EXCELLENT,1.3,7.5,2,30.9,27.3,70.4,6.8,24.2,11.3,COMPLETED,SYNTHETIC
T-SYN-0075,OVERBURDEN,CAT-349D,7.0,OP1015,NOVICE,BENCH_2_WEST,1151.0,RAIN,15.7,34.3,MODERATE,3.0,6.3,1,35.2,23.9,80.9,5.6,44.1,24.4,COMPLETED,SYNTHETIC
T-SYN-0076,TRENCHING,CAT-349D,6.2,OP1009,EXPERT,STOCKPILE_2,738.0,CLEAR,23.2,10.2,EXCELLENT,1.0,3.8,1,26.6,25.4,71.8,2.6,14.0,6.8,COMPLETED,SYNTHETIC
T-SYN-0077,OVERBURDEN,CAT-349D,4.0,OP1021,INTERMEDIATE,RAMP_3_SOUTH,1280.0,CLEAR,22.6,10.9,EXCELLENT,1.1,12.1,4,24.0,26.8,76.9,27.6,42.9,15.6,COMPLETED,SYNTHETIC
T-SYN-0078,TRENCHING,CAT-349D,3.2,OP1013,NOVICE,STOCKPILE_1,958.0,CLEAR,27.3,7.1,EXCELLENT,14.5,12.2,3,40.2,23.8,84.0,25.4,61.5,31.9,COMPLETED,SYNTHETIC
T-SYN-0079,GRADING,CAT-D8T,4.4,OP1011,MASTER,ZONE_4_NORTH,703.0,OVERCAST,18.6,19.5,GOOD,3.5,21.8,4,28.7,18.6,71.7,33.9,51.2,14.1,IN_PROGRESS,SYNTHETIC
T-SYN-0080,TRENCHING,CAT-349D,1.9,OP1020,NOVICE,RAMP_3_SOUTH,780.0,OVERCAST,18.9,14.1,GOOD,0.8,7.2,2,36.8,27.7,75.7,5.4,26.6,15.1,IN_PROGRESS,SYNTHETIC
T-SYN-0081,LOADING,CAT-349D,4.7,OP1024,INTERMEDIATE,STOCKPILE_1,989.0,CLEAR,21.1,6.7,EXCELLENT,4.6,17.2,6,23.1,24.5,86.3,42.8,54.8,17.9,COMPLETED,SYNTHETIC
T-SYN-0082,LOADING,CAT-349D,0.9,OP1021,MASTER,STOCKPILE_1,1280.0,MUD,15.5,35.1,POOR,0.1,3.6,1,21.1,22.4,91.6,1.8,19.9,9.7,COMPLETED,SYNTHETIC
T-SYN-0083,GRADING,CAT-D8T,3.0,OP1024,EXPERT,STOCKPILE_1,548.0,OVERCAST,18.2,11.6,GOOD,14.1,7.4,0,32.2,15.9,77.3,6.6,26.5,9.8,COMPLETED,SYNTHETIC
T-SYN-0084,TRENCHING,CAT-349D,1.3,OP1013,EXPERT,STOCKPILE_2,622.0,OVERCAST,23.9,16.1,GOOD,1.9,4.0,2,29.5,26.7,74.8,6.1,17.4,7.7,COMPLETED,SYNTHETIC
T-SYN-0085,EXCAVATION,CAT-349D,4.4,OP1011,INTERMEDIATE,HAUL_ROAD_EAST,320.0,CLEAR,28.0,8.8,EXCELLENT,3.2,5.6,2,29.0,27.3,69.5,1.9,7.4,3.5,COMPLETED,SYNTHETIC
T-SYN-0086,OVERBURDEN,CAT-349D,3.5,OP1010,EXPERT,RAMP_3_SOUTH,1029.0,CLEAR,27.8,13.7,EXCELLENT,5.9,3.6,0,23.2,30.2,82.6,5.2,15.4,7.5,COMPLETED,SYNTHETIC
T-SYN-0087,TRENCHING,CAT-349D,7.3,OP1008,NOVICE,RAMP_3_SOUTH,493.0,RAIN,14.7,24.8,MODERATE,3.7,7.2,2,42.7,25.3,79.7,7.8,30.7,15.3,COMPLETED,SYNTHETIC
T-SYN-0088,TRENCHING,CAT-349D,1.9,OP1005,INTERMEDIATE,RAMP_3_SOUTH,986.0,CLEAR,30.4,12.1,EXCELLENT,7.5,7.3,1,36.4,27.0,77.1,7.6,34.5,18.3,COMPLETED,SYNTHETIC
T-SYN-0089,OVERBURDEN,CAT-349D,5.8,OP1011,INTERMEDIATE,STOCKPILE_2,677.0,CLEAR,24.3,8.9,EXCELLENT,1.0,5.3,0,26.4,25.0,77.6,2.9,13.4,7.2,COMPLETED,SYNTHETIC
T-SYN-0090,OVERBURDEN,CAT-349D,2.1,OP1016,INTERMEDIATE,RAMP_3_SOUTH,663.0,FOG,11.4,15.5,POOR,0.3,17.3,4,26.5,26.0,79.2,33.3,43.2,13.8,COMPLETED,SYNTHETIC
T-SYN-0091,LOADING,CAT-349D,7.0,OP1004,MASTER,STOCKPILE_1,978.0,CLEAR,22.7,9.4,EXCELLENT,1.4,5.7,1,20.6,26.3,80.7,3.7,12.5,5.9,COMPLETED,SYNTHETIC
T-SYN-0092,EXCAVATION,CAT-349D,5.9,OP1018,NOVICE,RAMP_3_SOUTH,554.0,CLEAR,21.3,10.0,EXCELLENT,2.0,7.5,0,35.6,24.8,74.5,5.5,21.2,11.4,IN_PROGRESS,SYNTHETIC
T-SYN-0093,EXCAVATION,CAT-349D,5.3,OP1015,NOVICE,RAMP_3_SOUTH,711.0,OVERCAST,23.2,14.8,GOOD,0.5,6.6,2,34.3,30.1,74.1,4.3,19.7,10.9,IN_PROGRESS,SYNTHETIC
T-SYN-0094,LOADING,CAT-349D,5.5,OP1017,MASTER,STOCKPILE_1,1060.0,OVERCAST,22.5,15.1,GOOD,6.0,19.2,4,23.7,26.0,82.7,36.4,49.1,15.8,COMPLETED,SYNTHETIC
T-SYN-0095,TRENCHING,CAT-349D,1.3,OP1020,MASTER,BENCH_2_WEST,856.0,CLEAR,23.5,10.3,EXCELLENT,1.4,4.2,2,24.9,26.6,71.7,3.2,14.3,6.4,IN_PROGRESS,SYNTHETIC
T-SYN-0096,EXCAVATION,CAT-349D,4.6,OP1004,EXPERT,ZONE_4_NORTH,524.0,OVERCAST,22.3,17.5,GOOD,5.2,4.5,1,29.4,25.6,79.7,2.8,12.6,6.5,IN_PROGRESS,SYNTHETIC
T-SYN-0097,GRADING,CAT-D8T,2.9,OP1009,INTERMEDIATE,ZONE_4_NORTH,682.0,OVERCAST,18.4,13.7,GOOD,1.3,5.5,1,28.6,15.7,63.3,7.0,26.7,8.8,COMPLETED,SYNTHETIC
T-SYN-0098,OVERBURDEN,CAT-349D,6.4,OP1019,INTERMEDIATE,ZONE_4_NORTH,1168.0,CLEAR,25.7,9.9,EXCELLENT,1.7,6.8,2,23.3,27.3,73.1,7.0,19.9,9.1,COMPLETED,SYNTHETIC
T-SYN-0099,OVERBURDEN,CAT-349D,7.2,OP1004,INTERMEDIATE,STOCKPILE_1,1157.0,CLEAR,27.3,14.4,EXCELLENT,1.1,4.2,0,24.5,25.0,77.3,6.4,21.8,11.0,COMPLETED,SYNTHETIC
T-SYN-0100,LOADING,CAT-349D,1.9,OP1006,NOVICE,BENCH_3_UPPER,1414.0,CLEAR,31.0,6.4,EXCELLENT,5.9,4.6,1,28.0,27.3,81.7,4.5,27.1,16.9,COMPLETED,SYNTHETIC
T-SYN-0101,GRADING,CAT-D8T,6.3,OP1018,INTERMEDIATE,BENCH_3_UPPER,404.0,CLEAR,20.1,10.7,EXCELLENT,3.1,6.7,2,31.4,15.1,64.8,3.1,17.8,6.2,COMPLETED,SYNTHETIC
T-SYN-0102,EXCAVATION,CAT-349D,3.6,OP1018,INTERMEDIATE,RAMP_3_SOUTH,502.0,OVERCAST,21.5,19.8,GOOD,1.6,4.5,2,31.1,28.0,79.4,2.8,12.4,6.7,COMPLETED,SYNTHETIC
T-SYN-0103,EXCAVATION,CAT-349D,4.0,OP1005,INTERMEDIATE,BENCH_3_UPPER,427.0,MUD,16.8,40.3,POOR,4.0,21.4,5,41.7,22.8,85.1,40.0,63.2,21.3,IN_PROGRESS,SYNTHETIC
T-SYN-0104,EXCAVATION,CAT-349D,5.3,OP1004,EXPERT,BENCH_2_WEST,325.0,MUD,17.1,52.0,POOR,0.4,4.7,0,35.5,26.0,85.6,6.2,17.4,7.0,COMPLETED,SYNTHETIC
T-SYN-0105,GRADING,CAT-D8T,3.8,OP1005,EXPERT,STOCKPILE_2,359.0,RAIN,18.9,34.5,MODERATE,2.4,5.5,2,35.4,17.7,75.5,6.4,22.8,7.2,COMPLETED,SYNTHETIC
T-SYN-0106,EXCAVATION,CAT-349D,6.0,OP1007,EXPERT,STOCKPILE_2,759.0,CLEAR,29.5,14.6,EXCELLENT,2.6,4.9,1,29.7,28.1,73.7,3.9,17.1,8.2,COMPLETED,SYNTHETIC
T-SYN-0107,OVERBURDEN,CAT-349D,2.6,OP1015,EXPERT,STOCKPILE_1,937.0,FOG,15.3,18.0,POOR,11.5,6.1,2,27.9,23.3,85.0,4.9,22.3,12.2,COMPLETED,SYNTHETIC
T-SYN-0108,TRENCHING,CAT-349D,0.9,OP1020,INTERMEDIATE,RAMP_3_SOUTH,850.0,CLEAR,24.8,14.5,EXCELLENT,0.4,7.0,0,33.6,23.8,72.7,6.7,29.1,14.5,COMPLETED,SYNTHETIC
